factor,type,direction,ic_mean,ic_std,ic_ir,ic_positive_ratio,sharpe,long_sharpe,short_sharpe,ann_ret,long_ann_ret,short_ann_ret,max_dd,final_nav,n_days,avg_valid_count,ret_2022,ret_2023,ret_2024,ret_2025
trade_size_skew,Intraday,1,0.04497428741984847,0.09926205590244755,0.45308635288780064,0.6778846153846154,2.8995548477186457,-0.22565391141883018,0.9846486915209479,0.3749567875132189,-0.40094672211132354,0.6130001752784504,-0.08611541281272894,3.5615635716368703,1456,208.5359342915811,0.32479997250102466,0.17615749852846396,0.26727084003276014,0.8036632918740163
taker_imbalance_std,Intraday,1,0.06976971088993433,0.1462281334879058,0.47712915739578426,0.6881868131868132,2.6003146549505227,0.07996597752804496,0.8910165561498873,0.49932969365720803,-0.2316415334157944,0.48862343274723785,-0.1005243315706309,5.031076587026879,1456,209.97056810403834,0.7283928442329111,0.32566386365133804,0.32385161110424554,0.65861558802747
taker_residual_std,Intraday,1,0.06997685240693036,0.1496678587627353,0.4675475971256255,0.6840659340659341,2.465272660145001,0.07541194349722505,0.8537075619461081,0.47343660319057257,-0.23038091381640546,0.4409588609464308,-0.09105019975731654,4.693329975921973,1456,209.70773442847366,0.6704597068773921,0.2829190922446263,0.2708183858787456,0.7233057105869649
max_buy_pressure_1h,Intraday,1,0.043543336010755634,0.10874686486662727,0.4004099985784365,0.6586538461538461,2.184892154838087,-0.16851650583142674,0.7950852738885674,0.2973280525254236,-0.3681733383604944,0.3746741260405462,-0.08740726022387069,2.8246219799399968,1456,209.97056810403834,0.3609238531281025,0.19863656661134454,0.20311136320634415,0.43923978922962803
high_vol_up_reversal,Intraday,1,0.1045025280879287,0.21675762902807408,0.48211693279420575,0.7032967032967034,2.139606727435725,-0.04976639313959176,1.0343339033961367,0.5535289097244904,-0.2297372939019805,0.7007193299502767,-0.20578709128314376,5.796698438009463,1456,208.5359342915811,1.0062791370771822,0.23507169801798877,0.3348840081888611,0.7524823409945256
market_r2,Intraday,1,0.07549241638296408,0.14382922548333552,0.5248753226649172,0.6948453608247422,2.0871184851146407,-0.17760392426377178,1.0476209390543845,0.39785423432604605,-0.3800981487138041,0.6849748705288263,-0.156283087620658,3.8006240900467945,1455,208.92470910335388,0.6605202851176026,0.3614144981649532,0.24306461894462017,0.352466930179252
down_vol_ratio,Intraday,1,0.04225676527108382,0.12025009977363797,0.3514072906097889,0.6407967032967034,2.074313597451942,-0.2823952677671287,0.9258878012892829,0.2932814124964602,-0.4355161387322015,0.5328564618919032,-0.19973833790826911,2.7896396672771298,1456,209.70773442847366,0.5048185887405285,0.19491789558920547,0.20622852756262122,0.286163858848941
rsv_asymmetry,Intraday,1,0.04225652883132769,0.12025007593995993,0.3514053940254654,0.6407967032967034,2.074313597451942,-0.2823952677671287,0.9258878012892829,0.2932814124964602,-0.4355161387322015,0.5328564618919032,-0.19973833790826911,2.7896396672771298,1456,209.70773442847366,0.5048185887405285,0.19491789558920547,0.20622852756262122,0.286163858848941
early_main_diff,Intraday,1,0.03946917806985438,0.15701431588803633,0.25137310144552694,0.5947802197802198,2.018893061167658,-0.2778168666026702,1.0873967017402302,0.36606579461676025,-0.45971707381500204,0.7486764641439774,-0.18416920720926244,3.4705783051091736,1456,209.97056810403834,0.7608541924427947,0.20242608129532624,0.2039294567638732,0.36150431984471254
gamma_down,Intraday,1,0.08127354788664733,0.1816101400924508,0.44751655039805904,0.6923076923076923,1.7865587038909578,-0.1471050021093225,0.8570786621278967,0.39082984135551135,-0.31756001314334137,0.44046416970894464,-0.1675820852140577,3.728428979841346,1456,208.5359342915811,0.570705806101669,0.15447358970059377,0.27775043698998414,0.6091665099846633
